epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
925,7047755,7047855,7047955,61878876173,61857363838,1.07919E+20,5.09352E+19,5.69842E+19,5.69842E+19,1.04682E+20,TRUE
926,7047858,7047958,7048058,61857363838,61861320279,5.81075E+19,2.4047E+19,3.40605E+19,2.4047E+19,5.63643E+19,TRUE
927,7047961,7048061,7048161,61861320279,62049689927,8.5513E+19,4.16666E+19,4.38464E+19,4.16666E+19,8.29476E+19,TRUE
928,7048064,7048164,7048264,62049689927,62242560050,1.19156E+20,9.41688E+19,2.49874E+19,9.41688E+19,1.15582E+20,TRUE
929,7048167,7048267,7048367,62242560050,62138930175,1.10462E+20,2.50428E+19,8.54191E+19,8.54191E+19,1.07148E+20,TRUE
930,7048270,7048370,7048470,62138930175,62277520098,9.06297E+19,5.41432E+19,3.64866E+19,5.41432E+19,8.79108E+19,TRUE
931,7048372,7048472,7048572,62277520098,62281369486,7.9167E+19,4.33592E+19,3.58078E+19,4.33592E+19,7.6792E+19,TRUE
932,7048476,7048576,7048676,62281369486,62128944436,7.15644E+19,2.67411E+19,4.48233E+19,4.48233E+19,6.94175E+19,TRUE
933,7048579,7048679,7048779,62128944436,62140776925,8.14638E+19,3.08807E+19,5.05831E+19,3.08807E+19,7.90199E+19,TRUE
934,7048682,7048782,7048882,62140776925,62153903754,5.89029E+19,2.94867E+19,2.94162E+19,2.94867E+19,5.71358E+19,TRUE
935,7048784,7048884,7048984,62153903754,62150289045,6.50525E+19,4.12818E+19,2.37707E+19,2.37707E+19,6.31009E+19,TRUE
936,7048886,7048986,7049086,62150289045,62186591569,5.49581E+19,3.41791E+19,2.07789E+19,3.41791E+19,5.33094E+19,TRUE
937,7048989,7049089,7049189,62186591569,62409006242,7.57263E+19,3.92071E+19,3.65193E+19,3.92071E+19,7.34545E+19,TRUE
938,7049091,7049191,7049291,62409006242,62469330863,8.02105E+19,5.14098E+19,2.88007E+19,5.14098E+19,7.78042E+19,TRUE
939,7049194,7049294,7049394,62469330863,62341486432,7.72773E+19,6.77417E+19,9.53562E+18,9.53562E+18,7.4959E+19,TRUE
940,7049297,7049397,7049497,62341486432,62273980069,7.46122E+19,1.6306E+19,5.83061E+19,5.83061E+19,7.23738E+19,TRUE
941,7049400,7049500,7049600,62273980069,62095000000,6.8941E+19,2.7137E+19,4.18041E+19,4.18041E+19,6.68728E+19,TRUE
942,7049502,7049602,7049702,62095000000,62096000000,7.34369E+19,3.63282E+19,3.71087E+19,3.63282E+19,7.12338E+19,TRUE
943,7049605,7049705,7049805,62096000000,62129356520,6.75516E+19,2.20078E+19,4.55438E+19,2.20078E+19,6.55251E+19,TRUE
944,7049709,7049809,7049909,62129356520,62154296509,9.76157E+19,7.15401E+19,2.60756E+19,7.15401E+19,9.46873E+19,TRUE
945,7049813,7049913,7050013,62154296509,62163263226,4.49293E+19,2.93513E+19,1.5578E+19,2.93513E+19,4.35814E+19,TRUE
946,7049917,7050017,7050117,62163263226,62307023631,9.92565E+19,5.35659E+19,4.56906E+19,5.35659E+19,9.62788E+19,TRUE
947,7050020,7050120,7050220,62307023631,62181036674,8.32923E+19,3.93702E+19,4.3922E+19,4.3922E+19,8.07935E+19,TRUE
948,7050124,7050224,7050324,62181036674,62174698124,7.93815E+19,4.5003E+19,3.43785E+19,3.43785E+19,7.7E+19,TRUE
949,7050227,7050327,7050427,62174698124,62257306404,6.23768E+19,3.65652E+19,2.58117E+19,3.65652E+19,6.05055E+19,TRUE
950,7050329,7050429,7050529,62257306404,62087390109,5.65395E+19,3.08131E+19,2.57265E+19,2.57265E+19,5.48434E+19,TRUE
951,7050432,7050532,7050632,62087390109,61993809143,5.75166E+19,1.98823E+19,3.76344E+19,3.76344E+19,5.57911E+19,TRUE
952,7050535,7050635,7050735,61993809143,62065431987,8.39513E+19,3.40875E+19,4.98638E+19,3.40875E+19,8.14328E+19,TRUE
953,7050638,7050738,7050838,62065431987,62115081756,9.6754E+19,7.02215E+19,2.65325E+19,7.02215E+19,9.38514E+19,TRUE
954,7050741,7050841,7050941,62115081756,62206854672,9.81275E+19,5.48055E+19,4.3322E+19,5.48055E+19,9.51836E+19,TRUE
955,7050845,7050945,7051045,62206854672,62285436574,6.89799E+19,5.16832E+19,1.72967E+19,5.16832E+19,6.69105E+19,TRUE
956,7050947,7051047,7051147,62285436574,62361493023,1.18365E+20,7.34368E+19,4.49282E+19,7.34368E+19,1.14814E+20,TRUE
957,7051050,7051150,7051250,62361493023,62343000000,6.10355E+19,3.44631E+19,2.65724E+19,2.65724E+19,5.92044E+19,TRUE
958,7051153,7051253,7051353,62343000000,62455444977,9.70799E+19,5.19619E+19,4.5118E+19,5.19619E+19,9.41675E+19,TRUE
959,7051256,7051356,7051456,62455444977,62542807906,9.51379E+19,6.35043E+19,3.16336E+19,6.35043E+19,9.22838E+19,TRUE
960,7051359,7051459,7051559,62542807906,62509882163,1.06761E+20,6.67698E+19,3.99915E+19,3.99915E+19,1.03558E+20,TRUE
961,7051463,7051563,7051663,62509882163,62472032684,7.83271E+19,4.06447E+19,3.76824E+19,3.76824E+19,7.59772E+19,TRUE
962,7051565,7051665,7051765,62472032684,62352022895,8.00999E+19,2.54983E+19,5.46015E+19,5.46015E+19,7.76969E+19,TRUE
963,7051668,7051768,7051868,62352022895,62283046247,1.48123E+20,9.30913E+19,5.50316E+19,5.50316E+19,1.43679E+20,TRUE
964,7051771,7051871,7051971,62283046247,62282687163,9.73922E+19,5.58344E+19,4.15578E+19,4.15578E+19,9.44704E+19,TRUE
965,7051873,7051973,7052073,62282687163,62261138298,6.56453E+19,4.45105E+19,2.11348E+19,2.11348E+19,6.36759E+19,TRUE
966,7051976,7052076,7052176,62261138298,62323000000,1.1935E+20,3.66947E+19,8.26556E+19,3.66947E+19,1.1577E+20,TRUE
967,7052079,7052179,7052279,62323000000,62254000000,7.27457E+19,5.14443E+19,2.13014E+19,2.13014E+19,7.05633E+19,TRUE
968,7052182,7052282,7052382,62254000000,62325732423,5.35302E+19,2.19776E+19,3.15527E+19,2.19776E+19,5.19243E+19,TRUE
969,7052285,7052385,7052485,62325732423,62318638055,7.33808E+19,4.86204E+19,2.47604E+19,2.47604E+19,7.11794E+19,TRUE
970,7052388,7052488,7052588,62318638055,62305045701,5.26822E+19,2.84651E+19,2.42171E+19,2.42171E+19,5.11018E+19,TRUE
971,7052491,7052591,7052691,62305045701,62266912751,5.41991E+19,2.2693E+19,3.15062E+19,3.15062E+19,5.25731E+19,TRUE
972,7052594,7052694,7052794,62266912751,62236000000,7.39243E+19,3.37574E+19,4.01669E+19,4.01669E+19,7.17066E+19,TRUE
973,7052696,7052796,7052896,62236000000,62214470411,8.28523E+19,2.58007E+19,5.70516E+19,5.70516E+19,8.03667E+19,TRUE
974,7052799,7052899,7052999,62214470411,62291339688,6.49806E+19,3.68301E+19,2.81505E+19,3.68301E+19,6.30312E+19,TRUE
975,7052902,7053002,7053102,62291339688,62215991068,6.41521E+19,3.49197E+19,2.92324E+19,2.92324E+19,6.22275E+19,TRUE
976,7053004,7053104,7053204,62215991068,62111148109,1.16321E+20,3.76516E+19,7.8669E+19,7.8669E+19,1.12831E+20,TRUE
